"","feature","start","end","strand","gene"
"69","gene",83622,83708,"-","leuL"
"70","gene",84368,85312,"+","leuO"
"71","gene",85630,87354,"+","ilvI"
"72","gene",87357,87848,"+","ilvN"
"73","gene",88028,89032,"+","cra"
"74","gene",89634,90092,"+","mraZ"
"75","gene",90094,91035,"+","rsmH"
"76","gene",91032,91397,"+","ftsL"
"77","gene",91413,93179,"+","ftsI"
"78","gene",93166,94653,"+","murE"
"79","gene",94650,96008,"+","murF"
"80","gene",96002,97084,"+","mraY"
"81","gene",97087,98403,"+","murD"
"82","gene",98403,99647,"+","ftsW"
"83","gene",99644,100711,"+","murG"
"84","gene",100765,102240,"+","murC"
"85","gene",102233,103153,"+","ddlB"
"86","gene",103155,103985,"+","ftsQ"
"87","gene",103982,105244,"+","ftsA"
"88","gene",105305,106456,"+","ftsZ"
"89","gene",106557,107474,"+","lpxC"
"90","gene",107705,108217,"+","secM"
"91","gene",108279,110984,"+","secA"
"92","gene",111044,111433,"+","mutT"
"93","gene",111649,111846,"-","yacG"
"94","gene",111856,112599,"-","zapD"
"95","gene",112599,113219,"-","coaE"
"96","gene",113444,114487,"+","guaC"
"97","gene",114522,115724,"-","hofC"
"98","gene",115714,117099,"-","gspE"
"99","gene",117109,117549,"-","ppdD"
"100","gene",117752,118645,"-","nadC"
"101","gene",118733,119284,"+","ampD"
"102","gene",119281,120135,"+","ampE"
"103","gene",120178,121551,"-","aroP"
"104","gene",122092,122856,"+","pdhR"
"105","gene",123017,125680,"+","aceE"
"106","gene",125695,127587,"+","aceF"
"107","gene",127912,129336,"+","lpdA"
"108","gene",129407,131260,"-","yacH"
"109","gene",131615,134212,"+","acnB"
"110","gene",134388,134750,"+","yacL"
"111","gene",134788,135582,"-","speD"
"112","gene",135598,136464,"-","speE"
"113","gene",136570,136917,"-","yacC"
"114","gene",137083,138633,"+","cueO"
"115","gene",138835,141225,"-","gcd"
"116","gene",141431,141967,"+","hpt"
"117","gene",142008,142670,"-","can"
"118","gene",142779,143705,"+","yadG"
"119","gene",143702,144472,"+","yadH"
"120","gene",144577,145017,"+","yadI"
"121","gene",145081,146310,"+","yadE"
"122","gene",146314,146694,"-","panD"
"123","gene",146968,147870,"+","rpnC"
"124","gene",147944,148795,"-","panC"
"125","gene",148807,149601,"-","panB"
"126","gene",149715,150953,"-","yadC"
"127","gene",151003,151599,"-","yadK"
"128","gene",151626,152231,"-","yadL"
"129","gene",152243,152812,"-","yadM"
"130","gene",152829,155426,"-","htrE"
"131","gene",155461,156201,"-","yadV"
"132","gene",156299,156883,"-","yadN"
"133","gene",157253,157732,"-","folK"
"134","gene",157729,159126,"-","pcnB"
"135","gene",159186,160082,"-","gluQRS"
"136","gene",160149,160604,"-","dksA"
"137","gene",160782,161486,"-","sfsA"
"138","gene",161501,162031,"-","thpR"
"139","gene",162105,164534,"+","hrpB"
"140","gene",164730,167264,"+","mrcB"
"141","gene",167484,169727,"+","fhuA"
"142","gene",169778,170575,"+","fhuC"
"143","gene",170575,171465,"+","fhuD"
"144","gene",171462,173444,"+","fhuB"
"145","gene",173602,174882,"-","hemL"
"146","gene",175048,175095,"+","yadX"
"147","gene",175107,176528,"+","clcA"
"148","gene",176610,176954,"+","erpA"
"149","gene",177001,177624,"-","yadS"
"150","gene",177662,178462,"-","btuF"
"151","gene",178455,179153,"-","mtnN"
"152","gene",179237,180754,"+","dgt"
"153","gene",180884,182308,"+","degP"
"154","gene",182463,183620,"+","cdaR"
"155","gene",183709,184095,"-","yaeH"
"156","gene",184257,185069,"-","yaeI"
"157","gene",185123,185947,"-","dapD"
"158","gene",185978,188650,"-","glnD"
"159","gene",188712,189506,"-","map"
"160","gene",189874,190599,"+","rpsB"
"161","gene",190857,191708,"+","tsf"
"162","gene",191855,192580,"+","pyrH"
"163","gene",192872,193429,"+","frr"
"164","gene",193521,194717,"+","ispC"
"165","gene",194906,195664,"+","ispU"
"166","gene",195677,196534,"+","cdsA"
"167","gene",196546,197898,"+","rseP"
"168","gene",197928,200360,"+","bamA"
"169","gene",200482,200967,"+","skp"
"170","gene",200971,201996,"+","lpxD"
"171","gene",202101,202556,"+","fabZ"
"172","gene",202560,203348,"+","lpxA"
"173","gene",203348,204496,"+","lpxB"
"174","gene",204493,205089,"+","rnhB"
"175","gene",205126,208608,"+","dnaE"
"176","gene",208621,209580,"+","accA"
"177","gene",209679,211820,"+","ldcC"
"178","gene",211877,212266,"+","yaeR"
"179","gene",212331,213629,"+","tilS"
"180","gene",213678,213938,"-","rof"
"181","gene",213925,214125,"-","yaeP"
"182","gene",214291,214836,"+","yaeQ"
"183","gene",214833,215255,"+","arfB"
"184","gene",215269,215979,"+","nlpE"
"185","gene",216179,217003,"-","yaeF"
"186","gene",217057,218775,"-","proS"
"187","gene",218887,219594,"-","tsaA"
"188","gene",219591,219995,"-","rcsF"
"189","gene",220113,220928,"-","metQ"
"190","gene",220968,221621,"-","metI"
"191","gene",221614,222645,"-","metN"
"192","gene",222833,223408,"+","gmhB"
"193","rRNA",223771,225312,"+","16S ribosomal RNA"
"194","tRNA",225381,225457,"+","tRNA-Ile"
"195","tRNA",225500,225575,"+","tRNA-Ala"
"196","rRNA",225759,228662,"+","23S ribosomal RNA"
"197","gene",228758,228873,"+","rrf"
"198","rRNA",228758,228873,"+","rrf"
"199","tRNA",228928,229004,"+","tRNA-Asp"
"200","gene",229167,229970,"+","dkgB"
"201","gene",229967,230881,"-","yafC"
"202","gene",231122,231922,"+","yafD"
"203","pseudogene",231953,232549,"+","yafE"
"204","gene",232597,233955,"-","mltD"
"205","gene",234027,234782,"-","gloB"
"206","gene",234816,235538,"+","yafS"
"207","gene",235535,236002,"-","rnhA"
"208","gene",236067,236798,"+","dnaQ"
"209","tRNA",236931,237007,"+","tRNA-Asp"
"210","gene",239419,240189,"-","yafV"
"211","gene",240370,240816,"+","ivy"
"212","gene",240859,243303,"-","fadE"
"213","gene",243543,244121,"+","lpcA"
"214","gene",244327,245094,"+","yafJ"
"215","gene",245065,245805,"-","dpaA"
"216","gene",245961,246239,"-","yafQ"
"217","gene",246242,246502,"-","dinJ"
"218","gene",246712,247461,"+","yafL"
"219","gene",247637,248134,"+","rayT"
"220","gene",250042,250827,"+","lafU"
"221","gene",250898,251953,"+","dinB"
"222","gene",252005,252298,"+","yafN"
"223","gene",252301,252699,"+","yafO"
"224","gene",252709,253161,"+","yafP"
"225","pseudogene",253681,254202,"+","prfH"
"226","gene",254259,255716,"-","pepD"
"227","gene",255977,256435,"+","gpt"
"228","gene",256527,257771,"+","frsA"
"229","gene",257829,258230,"+","crl"
"230","gene",258269,259324,"-","phoE"
"231","gene",259612,260715,"+","proB"
"232","gene",260727,261980,"+","proA"
"233","tRNA",262095,262170,"+","tRNA-Thr"
"234","gene",262552,262893,"-","ykfI"
"235","gene",262914,263231,"-","yafW"
"236","gene",263250,263471,"-","ykfH"
"237","gene",263480,263956,"-","ykfG"
"238","gene",263972,264430,"-","yafX"
"239","gene",264528,264767,"-","ykfF"
"240","gene",266408,267229,"-","yafZ"
"241","gene",267321,268184,"-","ykfA"
"242","gene",268513,269406,"-","perR"
"243","pseudogene",272086,273177,"+","ykfC"
"244","gene",274549,275952,"+","mmuP"
"245","gene",275939,276871,"+","mmuM"
"246","gene",276980,278026,"-","fbpC"
"247","gene",279609,279959,"-","yagB"
"248","gene",280053,281207,"-","yagA"
"249","gene",281502,282410,"+","yagE"
"250","gene",282425,284392,"+","yagF"
"251","gene",284619,286001,"+","yagG"
"252","gene",286013,287623,"+","yagH"
"253","gene",287628,288386,"-","xynR"
"254","gene",288525,289529,"-","argF"
"255","gene",289499,289594,"-","argL"
"256","gene",291546,292172,"-","yagK"
"257","gene",292444,293142,"-","yagL"
"258","gene",294142,294366,"-","ykgV"
"259","gene",294920,296320,"-","intF"
"260","gene",296994,297950,"-","paoD"
"261","gene",297960,300158,"-","paoC"
"262","gene",300155,301111,"-","paoB"
"263","gene",301108,301797,"-","paoA"
"264","gene",302215,302829,"+","yagU"
"265","gene",303077,303406,"-","ykgJ"
"266","gene",303719,304429,"-","ecpE"
"267","gene",304398,306041,"-","ecpD"
"268","gene",306031,308556,"-","ecpC"
"269","gene",308582,309250,"-","ecpB"
"270","gene",309308,309895,"-","ecpA"
"271","gene",309970,310512,"-","ecpR"
"272","gene",311598,311738,"-","ykgO"
"273","gene",311738,312001,"-","ykgM"
"274","gene",316950,317543,"-","rclC"
"275","gene",317555,317791,"-","rclB"
"276","gene",317900,319225,"-","rclA"
"277","gene",319451,320305,"+","rclR"
"278","gene",320832,321551,"+","ykgE"
"279","gene",321562,322989,"+","ykgF"
"280","gene",322982,323677,"+","ykgG"
"281","gene",324801,326471,"-","betA"
"282","gene",326485,327957,"-","betB"
"283","gene",327971,328558,"-","betI"
"284","gene",328687,330720,"+","betT"
"285","gene",331595,332683,"+","pdeL"
"286","gene",332725,333657,"-","yahB"
"287","gene",333749,334246,"-","yahC"
"288","gene",334504,335109,"+","yahD"
"289","gene",335149,336012,"+","yahE"
"290","gene",336002,337549,"+","fdrA"
"291","gene",337549,338967,"+","yahG"
"292","gene",339389,340339,"+","yahI"
"293","gene",340349,341731,"+","yahJ"
"294","gene",342108,343157,"+","yahK"
"295","gene",344890,345561,"-","yahN"
"296","gene",345708,345983,"+","yahO"
"297","gene",346081,347667,"-","prpR"
"298","gene",347906,348796,"+","prpB"
"299","gene",349236,350405,"+","prpC"
"300","gene",350439,351890,"+","prpD"
"301","gene",351930,353816,"+","prpE"
"302","gene",354146,355405,"+","codB"
"303","gene",355395,356678,"+","codA"
"304","gene",357015,357914,"-","cynR"
"305","gene",358023,358682,"+","cynT"
"306","gene",358713,359183,"+","cynS"
"307","gene",359216,360370,"+","cynX"
"308","gene",360473,361084,"-","lacA"
"309","gene",361150,362403,"-","lacY"
"310","gene",362455,365529,"-","lacZ"
"311","gene",365652,366734,"-","lacI"
"312","gene",366811,367644,"-","mhpR"
"313","gene",367835,369499,"+","mhpA"
"314","gene",369501,370445,"+","mhpB"
"315","gene",370463,371329,"+","mhpC"
"316","gene",371339,372148,"+","mhpD"
"317","gene",372145,373095,"+","mhpF"
"318","gene",373092,374105,"+","dmpG"
"319","gene",374683,375894,"+","mhpT"
"320","gene",375996,376535,"+","yaiL"
"321","gene",376759,377592,"-","fghA"
"322","gene",377686,378795,"-","frmA"
"323","gene",378830,379105,"-","frmR"
"324","gene",379293,380066,"-","yaiO"
"325","gene",381963,383159,"-","yaiP"
"326","gene",384456,385418,"+","tauA"
"327","gene",385431,386198,"+","tauB"
"328","gene",386195,387022,"+","tauC"
"329","gene",387019,387870,"+","tauD"
"330","gene",387977,388951,"-","hemB"
"331","gene",393730,394353,"+","iprA"
"332","gene",394354,395511,"-","ampH"
"333","gene",395863,397083,"+","sbmA"
"334","gene",397096,398190,"+","yaiW"
"335","gene",398249,398557,"-","yaiY"
"336","gene",398817,399029,"+","yaiZ"
"337","gene",399053,400147,"-","ddlA"
"338","gene",400610,400870,"+","iraP"
"339","gene",400971,402386,"+","phoA"
"340","gene",402505,402825,"+","psiF"
"341","gene",402927,404042,"+","adrA"
"342","gene",404059,404868,"-","proC"
"343","gene",404988,405446,"+","yaiI"
"344","gene",405629,406153,"+","aroL"
"345","gene",406203,406394,"+","yaiA"
"346","gene",406652,407329,"+","aroM"
"347","gene",407401,407685,"+","ppnP"
"348","gene",408332,409243,"-","rdgC"
"349","gene",409368,410276,"+","mak"
"350","gene",410521,411705,"-","araJ"
"351","gene",411831,414977,"-","sbcC"
"352","gene",414974,416176,"-","sbcD"
"353","gene",416366,417055,"+","phoB"
"354","gene",417113,418408,"+","phoR"
"355","gene",418815,420134,"+","brnQ"
"356","gene",420210,421583,"+","proY"
"357","gene",421739,423556,"+","malZ"
"358","gene",423561,424142,"-","acpH"
"359","gene",424235,425305,"+","queA"
"360","gene",425361,426488,"+","tgt"
"361","gene",426511,426843,"+","yajC"
"362","gene",426871,428718,"+","secD"
"363","gene",428729,429700,"+","secF"
"364","gene",429829,430176,"+","yajD"
"365","gene",430353,431237,"-","tsx"
"366","gene",431536,432075,"-","yajI"
"367","gene",432226,432675,"+","nrdR"
"368","gene",432679,433782,"+","ribD"
"369","gene",433871,434341,"+","ribE"
"370","gene",434361,434780,"+","nusB"
"371","gene",434858,435835,"+","thiL"
"372","gene",435813,436331,"+","pgpA"
"373","gene",436385,437359,"-","yajO"
"374","gene",437539,439401,"-","dxs"
"375","gene",439426,440325,"-","ispA"
"376","gene",440325,440567,"-","xseB"
"377","gene",440773,442221,"+","thiI"
"378","gene",442275,442865,"-","yajL"
"379","gene",442828,443739,"-","panE"
"380","gene",443907,444398,"+","yajQ"
"381","gene",444526,445890,"-","yajR"
"382","gene",446039,446929,"-","cyoE"
"383","gene",446941,447270,"-","cyoD"
"384","gene",447270,447884,"-","cyoC"
"385","gene",447874,449865,"-","cyoB"
"386","gene",449887,450834,"-","cyoA"
"387","gene",451294,452769,"-","ampG"
"388","gene",452813,453391,"-","yajG"
"389","gene",453696,454013,"+","bolA"
"390","gene",454357,455655,"+","tig"
"391","gene",455901,456524,"+","clpP"
"392","gene",456650,457924,"+","clpX"
"393","gene",458112,460466,"+","lon"
"394","gene",460675,460947,"+","hupB"
"395","gene",461139,463010,"+","ppiD"
"396","gene",463161,463532,"+","ybaV"
"397","gene",463626,464024,"+","fadM"
"398","gene",464076,464771,"-","queC"
"399","gene",464836,466536,"-","ybaE"
"400","gene",466636,467454,"+","cof"
"401","gene",467607,468065,"+","decR"
"402","gene",468095,469867,"+","mdlA"
"403","gene",469860,471641,"+","mdlB"
"404","gene",471822,472160,"+","glnK"
"405","gene",472190,473476,"+","amtB"
"406","gene",473525,474385,"-","tesB"
"407","gene",474603,475175,"+","ybaY"
"408","gene",475680,475776,"+","ffs"
"409","gene",475896,476249,"+","ybaA"
"410","gene",476291,477841,"-","pdeB"
"411","gene",478005,478475,"-","ylaC"
"412","gene",478591,479142,"-","maa"
"413","gene",479314,479532,"-","hha"
"414","gene",479558,479932,"-","tomB"
"415","gene",480478,483627,"-","acrB"
"416","gene",483650,484843,"-","acrA"
"417","gene",484985,485632,"+","acrR"
"418","gene",485760,489122,"+","mscK"
"419","gene",489334,489495,"-","rsmS"
"420","gene",489509,490036,"-","priC"
"421","gene",490106,490483,"+","ybaN"
"422","gene",490636,491187,"+","apt"
"423","gene",491316,493247,"+","dnaX"
"424","gene",493300,493629,"+","ybaB"
"425","gene",493629,494234,"+","recR"
"426","gene",494344,496218,"+","htpG"
"427","gene",496399,497043,"+","adk"
"428","gene",497279,498241,"+","hemH"
"429","gene",498238,499197,"-","aes"
"430","gene",499349,500653,"+","gsk"
"431","gene",500786,502462,"-","ybaL"
"432","gene",502700,503920,"-","fsr"
"433","gene",504138,505790,"+","ushA"
"434","gene",505827,506306,"-","ybaK"
"435","gene",506510,507304,"-","ybaP"
"436","gene",507442,507783,"+","ybaQ"
"437","gene",508099,510603,"-","copA"
"438","gene",510865,511797,"+","glsA"
"439","gene",511800,513092,"+","ybaT"
"440","gene",513217,513624,"+","cueR"
"441","gene",513625,514083,"-","ybbJ"
"442","gene",514080,514997,"-","qmcA"
"443","gene",515143,515820,"+","fetA"
"444","gene",515807,516586,"+","fetB"
"445","gene",516649,517503,"-","cnoX"
"446","gene",517564,518373,"-","ybbO"
"447","gene",518363,518986,"-","tesA"
"448","gene",518957,519643,"+","ybbA"
"449","gene",519640,522054,"+","ybbP"
"450","gene",522485,526765,"+","rhsD"
"451","gene",526805,527173,"+","ybbC"
"452","pseudogene",528875,529240,"-","ylbG"
"453","gene",529356,530450,"-","mnmH"
"454","gene",530519,531445,"-","allS"
"455","gene",531675,532157,"+","allA"
"456","gene",532235,533050,"+","allR"
"457","gene",533140,534921,"+","gcl"
"458","gene",534934,535710,"+","hyi"
"459","gene",535810,536688,"+","glxR"
"460","gene",536857,538311,"+","ybbW"
"461","gene",538371,539732,"+","allB"
"462","gene",539789,541090,"+","ybbY"
"463","gene",541112,542257,"+","glxK"
"464","gene",542485,543270,"-","allE"
"465","gene",543281,544516,"-","allC"
"466","gene",544538,545587,"-","allD"
"467","gene",545904,547571,"+","fdrA"
"468","pseudogene",547581,548839,"+","ylbE"
"469","gene",548850,549665,"+","ylbF"
"470","gene",549662,550555,"+","ybcF"
"471","gene",550750,551817,"-","purK"
"472","gene",551814,552323,"-","purE"
"473","gene",552441,553163,"-","lpxH"
"474","gene",553166,553660,"-","ppiB"
"475","gene",553834,555219,"+","cysS"
"476","gene",555255,555776,"-","ybcI"
"477","gene",555884,556096,"-","ybcJ"
"478","gene",556098,556964,"-","folD"
"479","gene",557435,557977,"+","fimA"
"480","gene",558197,558889,"+","fimC"
"481","gene",558920,561523,"+","sfmD"
"482","gene",561565,562542,"+","fimH"
"483","gene",562553,563068,"+","sfmF"
"484","gene",563071,563703,"-","fimZ"
"485","tRNA",563946,564022,"+","tRNA-Arg"
"486","gene",564038,565201,"-","intD"
"487","gene",567538,567870,"+","emrE"
"488","gene",568125,569651,"+","ybcK"
"489","gene",570116,570667,"+","ybcL"
"490","gene",570677,571474,"+","ybcM"
"491","gene",571689,572144,"+","ybcN"
"492","gene",572144,572314,"+","ninE"
"493","gene",572307,572597,"+","ybcO"
"494","gene",572594,572956,"+","rusA"
"495","gene",572953,573093,"+","ylcG"
"496","gene",573179,573562,"+","quuD"
"497","gene",576621,576836,"+","essD"
"498","gene",576836,577333,"+","rrrD"
"499","gene",577550,577732,"+","rzoD"
"500","gene",577823,578116,"-","bor"
"501","gene",578407,578817,"-","ybcV"
"502","gene",579474,579668,"-","ylcI"
"503","gene",580057,580602,"+","nohD"
"504","gene",582904,583653,"+","appY"
"505","gene",583903,584856,"-","ompT"
"506","gene",585370,586131,"-","envY"
"507","gene",586314,587204,"-","ybcH"
"508","gene",587205,590177,"-","nfrA"
"509","gene",590164,592401,"-","nrfB"
"510","gene",592551,593993,"-","cusS"
"511","gene",593983,594666,"-","cusR"
"512","gene",594823,596196,"+","cusC"
"513","gene",596354,596686,"+","cusF"
"514","gene",596702,597925,"+","cusB"
"515","gene",597937,601080,"+","cusA"
"516","gene",601182,602558,"+","pheP"
"517","gene",602639,603886,"-","ybdG"
"518","gene",603994,604647,"-","nfsB"
"519","gene",604741,605109,"-","ybdF"
"520","gene",605174,605422,"-","ybdJ"
"521","gene",605488,606606,"-","ybdK"
"522","gene",607059,607211,"+","hokE"
"523","gene",608682,609302,"-","entD"
"524","gene",609477,611717,"-","fepA"
"525","gene",611960,613162,"+","fes"
"526","gene",613165,613383,"+","ybdZ"
"527","gene",613380,617261,"+","entF"
"528","gene",617477,618610,"+","wzz(fepE)"
"529","gene",618607,619422,"-","fepC"
"530","gene",619419,620411,"-","fepG"
"531","gene",620408,621412,"-","fepD"
"532","gene",621523,622773,"+","entS"
"533","gene",622777,623733,"-","fepB"
"534","gene",624108,625283,"+","entC"
"535","gene",625293,626903,"+","entE"
"536","gene",626917,627774,"+","entB"
"537","gene",627774,628520,"+","entA"
"538","gene",628523,628936,"+","entH"
"539","gene",629117,631222,"+","cstA"
"540","gene",631405,631602,"+","ybdD"
"541","gene",631612,632700,"-","hcxA"
"542","gene",632809,633969,"+","ybdL"
"543","gene",633970,634599,"-","ybdM"
"544","gene",634572,635792,"-","ybdN"
"545","gene",635939,636841,"-","ybdO"
"546","gene",637050,637796,"-","dsbG"
"547","gene",638168,638731,"+","ahpC"
"548","gene",638976,640541,"+","ahpF"
"549","gene",640662,641090,"-","uspG"
"550","gene",641311,642549,"+","ybdR"
"551","gene",642780,643190,"-","rnk"
"552","gene",643420,644226,"-","rna"
"553","gene",644340,645803,"-","citT"
"554","gene",645854,646732,"-","citG"
"555","gene",646707,647258,"-","citX"
"556","gene",647262,648794,"-","citF"
"557","gene",648805,649713,"-","citE"
"558","gene",649710,650006,"-","citD"
"559","gene",650021,651079,"-","citC"
"560","gene",651458,653116,"+","dpiB"
"561","gene",653085,653765,"+","dpiA"
"562","pseudogene",653806,654213,"-","dcuC"
"563","pseudogene",655410,656390,"-","dcuC"
"564","gene",656979,657539,"+","pagP"
"565","gene",657714,657923,"+","cspE"
"566","gene",657977,658360,"-","crcB"
"567","gene",659369,659572,"+","tatE"
"568","gene",659673,660638,"-","lipA"
"569","gene",660847,661800,"-","ybeF"
"570","gene",662059,662700,"-","lipB"
"571","gene",662801,663064,"-","ybeD"
"572","gene",663174,664385,"-","dacA"
"573","gene",664524,665612,"-","rlpA"
"574","gene",665623,666735,"-","mrdB"
"575","gene",666738,668639,"-","mrdA"
"576","gene",668670,669137,"-","rlmH"
"577","gene",669141,669458,"-","rsfS"
"578","gene",669718,670329,"-","cobC"
"579","gene",670353,670994,"-","nadD"
"580","gene",670996,672027,"-","holA"
"581","gene",672027,672608,"-","lptE"
"582","gene",672623,675205,"-","leuS"
"583","gene",675440,675922,"+","ybeL"
"584","gene",675992,676969,"-","ybeQ"
"585","gene",677133,677840,"+","ybeR"
"586","gene",677837,679264,"+","djlB"
"587","gene",679274,679828,"-","ybeT"
"588","gene",679930,680637,"+","ybeU"
"589","gene",680634,682085,"+","djlC"
"590","gene",682145,683815,"-","hscC"
"591","gene",683899,684834,"-","rihA"
"592","gene",684952,685677,"-","gltL"
"593","gene",685677,686351,"-","gltK"
"594","gene",686351,687091,"-","gltJ"
"595","gene",687261,688169,"-","gltI"
"596","gene",689765,691303,"-","lnt"
"597","gene",691328,692206,"-","corC"
"598","gene",692296,692763,"-","ybeY"
"599","gene",692760,693800,"-","ybeZ"
"600","gene",693953,695377,"-","miaB"
"601","gene",695523,696698,"+","ubiF"
"602","tRNA",696852,696926,"-","tRNA-Gln"
"603","tRNA",696964,697038,"-","tRNA-Gln"
"604","tRNA",697086,697162,"-","tRNA-Met"
"605","tRNA",697178,697252,"-","tRNA-Gln"
"606","tRNA",697287,697361,"-","tRNA-Gln"
"607","tRNA",697385,697469,"-","tRNA-Leu"
"608","tRNA",697479,697555,"-","tRNA-Met"
"609","gene",697935,699599,"-","asnB"
"610","gene",699996,700748,"-","nagD"
"611","gene",700796,702016,"-","nagC"
"612","gene",702025,703173,"-","nagA"
"613","gene",703233,704033,"-","nagB"
"614","gene",704366,706312,"+","nagE"
"615","gene",706515,708179,"+","glnS"
"616","gene",708756,710162,"+","chiP"
"617","gene",710212,710538,"+","chiQ"
"618","gene",710622,711068,"-","fur"
"619","gene",711061,711147,"-","uof"
"620","gene",711357,711887,"-","fldA"
"621","gene",712027,712320,"-","ybfE"
"622","gene",712460,713224,"-","ybfF"
"623","gene",713409,713954,"+","seqA"
"624","gene",713980,715620,"+","pgm"
"625","gene",717368,718687,"-","potE"
"626","gene",718684,720882,"-","speF"
"627","gene",721478,722155,"-","kdpE"
"628","gene",722152,724836,"-","kdpD"
"629","gene",724829,725401,"-","kdpC"
"630","gene",725410,727458,"-","kdpB"
"631","gene",727481,729154,"-","kdpA"
"632","gene",729154,729243,"-","kdpF"
"633","gene",729556,729762,"+","ybfA"
"634","gene",730005,734198,"+","rhsC"
"635","pseudogene",736867,737100,"+","ybfQ"
"636","pseudogene",738514,739272,"+","ybfD"
"637","gene",739423,739932,"+","ybgA"
"638","gene",739929,741347,"+","phrB"
"639","gene",741497,742978,"-","dtpD"
"640","gene",743249,743992,"+","ybgI"
"641","gene",744015,744671,"+","pxpB"
"642","gene",744665,745597,"+","pxpC"
"643","gene",745587,746321,"+","pxpA"
"644","gene",746357,747148,"+","nei"
"645","gene",747145,748191,"-","abrB"
"646","gene",748343,749404,"-","ybgO"
"647","gene",749401,750129,"-","ybgP"
"648","gene",750144,752600,"-","ybgQ"
"649","gene",752651,753217,"-","ybgD"
"650","gene",753607,754890,"-","gltA"
"651","gene",755584,755988,"+","sdhC"
"652","gene",755982,756329,"+","sdhD"
"653","gene",756329,758095,"+","sdhA"
"654","gene",758111,758827,"+","sdhB"
"655","gene",759128,761929,"+","sucA"
"656","gene",761944,763161,"+","odhB"
"657","gene",763436,764602,"+","sucC"
"658","gene",764602,765471,"+","sucD"
"659","gene",765575,766297,"-","mngR"
"660","gene",766466,768382,"+","mngA"
"661","gene",768400,771033,"+","mngB"
"662","gene",771880,773448,"+","cydA"
"663","gene",773464,774603,"+","cydB"
"664","gene",774618,774731,"+","cydX"
"665","gene",774731,775024,"+","ybgE"
"666","gene",775174,775578,"+","ybgC"
"667","gene",775575,776267,"+","tolQ"
"668","gene",776271,776699,"+","tolR"
"669","gene",776764,778029,"+","tolA"
"670","gene",778162,779454,"+","tolB"
"671","gene",779489,780010,"+","pal"
"672","gene",780020,780811,"+","cpoB"
"673","tRNA",780976,781051,"+","tRNA-Lys"
"674","tRNA",781187,781262,"+","tRNA-Val"
"675","tRNA",781265,781340,"+","tRNA-Lys"
"676","tRNA",781490,781565,"+","tRNA-Val"
"677","tRNA",781569,781644,"+","tRNA-Lys"
"678","tRNA",781791,781866,"+","tRNA-Lys"
"679","tRNA",781999,782074,"+","tRNA-Lys"
"680","gene",782507,783550,"+","nadA"
"681","gene",783588,784307,"+","pnuC"
